volume_id,true_pixels,predicted_pixels,intersection_pixels,micro_dice,tumor_threshold,liver_threshold,dilation_kernel,mode
106,0,1471,0,6.798096528349356e-10,0.15000000596046448,0.30000001192092896,5,liver_supported
107,1473,4445,245,0.08279824280452885,0.15000000596046448,0.30000001192092896,5,liver_supported
108,363698,241087,184106,0.6088312375478743,0.15000000596046448,0.30000001192092896,5,liver_supported
109,18200,21217,12775,0.6481974782543523,0.15000000596046448,0.30000001192092896,5,liver_supported
110,31120,24338,19522,0.7040282736538637,0.15000000596046448,0.30000001192092896,5,liver_supported
111,1830,3804,846,0.3003194889420803,0.15000000596046448,0.30000001192092896,5,liver_supported
112,295,4627,151,0.06135717207205258,0.15000000596046448,0.30000001192092896,5,liver_supported
113,21076,25937,13493,0.5740114436523087,0.15000000596046448,0.30000001192092896,5,liver_supported
114,0,1,0,9.99999000001e-07,0.15000000596046448,0.30000001192092896,5,liver_supported
115,0,4738,0,2.1105951873975102e-10,0.15000000596046448,0.30000001192092896,5,liver_supported
116,152763,654,0,6.518182469957578e-12,0.15000000596046448,0.30000001192092896,5,liver_supported
104,69032,397,0,1.4403203272200331e-11,0.15000000596046448,0.30000001192092896,11,liver_supported
105,0,2212,0,4.520795657992407e-10,0.15000000596046448,0.30000001192092896,11,liver_supported
106,0,1471,0,6.798096528349356e-10,0.15000000596046448,0.30000001192092896,11,liver_supported
107,1473,4445,245,0.08279824280452885,0.15000000596046448,0.30000001192092896,11,liver_supported
108,363698,241087,184106,0.6088312375478743,0.15000000596046448,0.30000001192092896,11,liver_supported
109,18200,21217,12775,0.6481974782543523,0.15000000596046448,0.30000001192092896,11,liver_supported
110,31120,24338,19522,0.7040282736538637,0.15000000596046448,0.30000001192092896,11,liver_supported
111,1830,3804,846,0.3003194889420803,0.15000000596046448,0.30000001192092896,11,liver_supported
112,295,4627,151,0.06135717207205258,0.15000000596046448,0.30000001192092896,11,liver_supported
113,21076,25937,13493,0.5740114436523087,0.15000000596046448,0.30000001192092896,11,liver_supported
114,0,1,0,9.99999000001e-07,0.15000000596046448,0.30000001192092896,11,liver_supported
115,0,4738,0,2.1105951873975102e-10,0.15000000596046448,0.30000001192092896,11,liver_supported
116,152763,654,0,6.518182469957578e-12,0.15000000596046448,0.30000001192092896,11,liver_supported
104,69032,397,0,1.4403203272200331e-11,0.15000000596046448,0.30000001192092896,21,liver_supported
105,0,2212,0,4.520795657992407e-10,0.15000000596046448,0.30000001192092896,21,liver_supported
106,0,1471,0,6.798096528349356e-10,0.15000000596046448,0.30000001192092896,21,liver_supported
107,1473,4445,245,0.08279824280452885,0.15000000596046448,0.30000001192092896,21,liver_supported
108,363698,241087,184106,0.6088312375478743,0.15000000596046448,0.30000001192092896,21,liver_supported
109,18200,21217,12775,0.6481974782543523,0.15000000596046448,0.30000001192092896,21,liver_supported
110,31120,24338,19522,0.7040282736538637,0.15000000596046448,0.30000001192092896,21,liver_supported
111,1830,3804,846,0.3003194889420803,0.15000000596046448,0.30000001192092896,21,liver_supported
112,295,4627,151,0.06135717207205258,0.15000000596046448,0.30000001192092896,21,liver_supported
113,21076,25937,13493,0.5740114436523087,0.15000000596046448,0.30000001192092896,21,liver_supported
114,0,1,0,9.99999000001e-07,0.15000000596046448,0.30000001192092896,21,liver_supported
115,0,4738,0,2.1105951873975102e-10,0.15000000596046448,0.30000001192092896,21,liver_supported
116,152763,654,0,6.518182469957578e-12,0.15000000596046448,0.30000001192092896,21,liver_supported
104,69032,397,0,1.4403203272200331e-11,0.15000000596046448,0.30000001192092896,31,liver_supported
105,0,2212,0,4.520795657992407e-10,0.15000000596046448,0.30000001192092896,31,liver_supported
106,0,1471,0,6.798096528349356e-10,0.15000000596046448,0.30000001192092896,31,liver_supported
107,1473,4445,245,0.08279824280452885,0.15000000596046448,0.30000001192092896,31,liver_supported
108,363698,241087,184106,0.6088312375478743,0.15000000596046448,0.30000001192092896,31,liver_supported
109,18200,21217,12775,0.6481974782543523,0.15000000596046448,0.30000001192092896,31,liver_supported
110,31120,24338,19522,0.7040282736538637,0.15000000596046448,0.30000001192092896,31,liver_supported
111,1830,3804,846,0.3003194889420803,0.15000000596046448,0.30000001192092896,31,liver_supported
112,295,4627,151,0.06135717207205258,0.15000000596046448,0.30000001192092896,31,liver_supported
113,21076,25937,13493,0.5740114436523087,0.15000000596046448,0.30000001192092896,31,liver_supported
114,0,1,0,9.99999000001e-07,0.15000000596046448,0.30000001192092896,31,liver_supported
115,0,4738,0,2.1105951873975102e-10,0.15000000596046448,0.30000001192092896,31,liver_supported
116,152763,654,0,6.518182469957578e-12,0.15000000596046448,0.30000001192092896,31,liver_supported
104,69032,397,0,1.4403203272200331e-11,0.15000000596046448,0.4000000059604645,1,liver_supported
105,0,2212,0,4.520795657992407e-10,0.15000000596046448,0.4000000059604645,1,liver_supported
106,0,1471,0,6.798096528349356e-10,0.15000000596046448,0.4000000059604645,1,liver_supported
107,1473,4445,245,0.08279824280452885,0.15000000596046448,0.4000000059604645,1,liver_supported
108,363698,241087,184106,0.6088312375478743,0.15000000596046448,0.4000000059604645,1,liver_supported
109,18200,21217,12775,0.6481974782543523,0.15000000596046448,0.4000000059604645,1,liver_supported
110,31120,24338,19522,0.7040282736538637,0.15000000596046448,0.4000000059604645,1,liver_supported
111,1830,3804,846,0.3003194889420803,0.15000000596046448,0.4000000059604645,1,liver_supported
112,295,4627,151,0.06135717207205258,0.15000000596046448,0.4000000059604645,1,liver_supported
113,21076,25937,13493,0.5740114436523087,0.15000000596046448,0.4000000059604645,1,liver_supported
114,0,1,0,9.99999000001e-07,0.15000000596046448,0.4000000059604645,1,liver_supported
115,0,4738,0,2.1105951873975102e-10,0.15000000596046448,0.4000000059604645,1,liver_supported
116,152763,654,0,6.518182469957578e-12,0.15000000596046448,0.4000000059604645,1,liver_supported
104,69032,397,0,1.4403203272200331e-11,0.15000000596046448,0.4000000059604645,5,liver_supported
105,0,2212,0,4.520795657992407e-10,0.15000000596046448,0.4000000059604645,5,liver_supported
106,0,1471,0,6.798096528349356e-10,0.15000000596046448,0.4000000059604645,5,liver_supported
107,1473,4445,245,0.08279824280452885,0.15000000596046448,0.4000000059604645,5,liver_supported
108,363698,241087,184106,0.6088312375478743,0.15000000596046448,0.4000000059604645,5,liver_supported
109,18200,21217,12775,0.6481974782543523,0.15000000596046448,0.4000000059604645,5,liver_supported
110,31120,24338,19522,0.7040282736538637,0.15000000596046448,0.4000000059604645,5,liver_supported
111,1830,3804,846,0.3003194889420803,0.15000000596046448,0.4000000059604645,5,liver_supported
112,295,4627,151,0.06135717207205258,0.15000000596046448,0.4000000059604645,5,liver_supported
113,21076,25937,13493,0.5740114436523087,0.15000000596046448,0.4000000059604645,5,liver_supported
114,0,1,0,9.99999000001e-07,0.15000000596046448,0.4000000059604645,5,liver_supported
115,0,4738,0,2.1105951873975102e-10,0.15000000596046448,0.4000000059604645,5,liver_supported
116,152763,654,0,6.518182469957578e-12,0.15000000596046448,0.4000000059604645,5,liver_supported
104,69032,397,0,1.4403203272200331e-11,0.15000000596046448,0.4000000059604645,11,liver_supported
105,0,2212,0,4.520795657992407e-10,0.15000000596046448,0.4000000059604645,11,liver_supported
106,0,1471,0,6.798096528349356e-10,0.15000000596046448,0.4000000059604645,11,liver_supported
107,1473,4445,245,0.08279824280452885,0.15000000596046448,0.4000000059604645,11,liver_supported
108,363698,241087,184106,0.6088312375478743,0.15000000596046448,0.4000000059604645,11,liver_supported
109,18200,21217,12775,0.6481974782543523,0.15000000596046448,0.4000000059604645,11,liver_supported
110,31120,24338,19522,0.7040282736538637,0.15000000596046448,0.4000000059604645,11,liver_supported
111,1830,3804,846,0.3003194889420803,0.15000000596046448,0.4000000059604645,11,liver_supported
112,295,4627,151,0.06135717207205258,0.15000000596046448,0.4000000059604645,11,liver_supported
113,21076,25937,13493,0.5740114436523087,0.15000000596046448,0.4000000059604645,11,liver_supported
114,0,1,0,9.99999000001e-07,0.15000000596046448,0.4000000059604645,11,liver_supported
115,0,4738,0,2.1105951873975102e-10,0.15000000596046448,0.4000000059604645,11,liver_supported
116,152763,654,0,6.518182469957578e-12,0.15000000596046448,0.4000000059604645,11,liver_supported
104,69032,397,0,1.4403203272200331e-11,0.15000000596046448,0.4000000059604645,21,liver_supported
105,0,2212,0,4.520795657992407e-10,0.15000000596046448,0.4000000059604645,21,liver_supported
106,0,1471,0,6.798096528349356e-10,0.15000000596046448,0.4000000059604645,21,liver_supported
107,1473,4445,245,0.08279824280452885,0.15000000596046448,0.4000000059604645,21,liver_supported
108,363698,241087,184106,0.6088312375478743,0.15000000596046448,0.4000000059604645,21,liver_supported
109,18200,21217,12775,0.6481974782543523,0.15000000596046448,0.4000000059604645,21,liver_supported
110,31120,24338,19522,0.7040282736538637,0.15000000596046448,0.4000000059604645,21,liver_supported
111,1830,3804,846,0.3003194889420803,0.15000000596046448,0.4000000059604645,21,liver_supported
112,295,4627,151,0.06135717207205258,0.15000000596046448,0.4000000059604645,21,liver_supported
113,21076,25937,13493,0.5740114436523087,0.15000000596046448,0.4000000059604645,21,liver_supported
114,0,1,0,9.99999000001e-07,0.15000000596046448,0.4000000059604645,21,liver_supported
115,0,4738,0,2.1105951873975102e-10,0.15000000596046448,0.4000000059604645,21,liver_supported
116,152763,654,0,6.518182469957578e-12,0.15000000596046448,0.4000000059604645,21,liver_supported
104,69032,397,0,1.4403203272200331e-11,0.15000000596046448,0.4000000059604645,31,liver_supported
105,0,2212,0,4.520795657992407e-10,0.15000000596046448,0.4000000059604645,31,liver_supported
106,0,1471,0,6.798096528349356e-10,0.15000000596046448,0.4000000059604645,31,liver_supported
107,1473,4445,245,0.08279824280452885,0.15000000596046448,0.4000000059604645,31,liver_supported
108,363698,241087,184106,0.6088312375478743,0.15000000596046448,0.4000000059604645,31,liver_supported
109,18200,21217,12775,0.6481974782543523,0.15000000596046448,0.4000000059604645,31,liver_supported
110,31120,24338,19522,0.7040282736538637,0.15000000596046448,0.4000000059604645,31,liver_supported
